exam_center,CODE,SUBJECT NAME,REG,SAT,NO-CA,W/HD,CLEAN,PASS,GPA,REG/RANK,NAT/RANK
S4547 MURUGWANZA,21,KISWAHILI,126,123,0,0,123,108,3.5285,203/245,3874/4919
S4547 MURUGWANZA,22,ENGLISH LANGUAGE,126,123,0,0,123,73,4.2439,196/245,3396/4919
S4547 MURUGWANZA,23,FRENCH LANGUAGE,12,12,0,0,12,12,3.8333,13/30,78/173
S4547 MURUGWANZA,24,LITERATURE IN ENGLISH,10,10,0,0,10,10,3.8,27/81,494/1533
S4547 MURUGWANZA,31,PHYSICS,7,7,0,0,7,3,4.4286,128/243,1908/4680
S4547 MURUGWANZA,32,CHEMISTRY,33,33,0,0,33,13,4.5152,237/245,4380/4883
S4547 MURUGWANZA,33,BIOLOGY,126,123,0,0,123,52,4.4715,204/245,3655/4916
S4547 MURUGWANZA,41,BASIC MATHEMATICS,126,123,0,0,123,5,4.9593,227/245,4275/4919
S4546 UKUNE,11,CIVICS,36,35,0,0,35,27,4.1143,71/140,2777/4919
S4546 UKUNE,12,HISTORY,36,35,0,0,35,23,4.2,60/140,1866/4896
S4546 UKUNE,13,GEOGRAPHY,36,35,0,0,35,24,4.1714,64/140,1958/4916
S4546 UKUNE,21,KISWAHILI,36,35,0,0,35,35,3.1429,42/140,2077/4919
S4546 UKUNE,22,ENGLISH LANGUAGE,36,35,0,0,35,32,3.6857,42/140,1340/4919
S4546 UKUNE,31,PHYSICS,15,15,0,0,15,4,4.6667,91/139,2874/4680
S4546 UKUNE,32,CHEMISTRY,16,16,0,0,16,14,3.875,66/140,2473/4883
S4546 UKUNE,33,BIOLOGY,36,35,0,0,35,31,3.6286,21/140,972/4916
S4546 UKUNE,41,BASIC MATHEMATICS,36,35,0,0,35,8,4.6571,47/140,1338/4919
S4545 MBWAWA,11,CIVICS,26,26,0,0,26,24,3.7308,53/170,1350/4919
S4545 MBWAWA,12,HISTORY,26,26,0,0,26,14,4.3846,74/170,2719/4896
S4545 MBWAWA,13,GEOGRAPHY,26,26,0,0,26,20,4.0385,51/170,1454/4916
S4545 MBWAWA,14,BIBLE KNOWLEDGE,25,25,0,0,25,23,3.44,14/20,219/386
S4545 MBWAWA,21,KISWAHILI,26,26,0,0,26,26,3.2308,87/170,2513/4919
S4545 MBWAWA,22,ENGLISH LANGUAGE,26,26,0,0,26,25,3.3846,51/170,903/4919
S4545 MBWAWA,31,PHYSICS,12,12,0,0,12,2,4.8333,130/165,3714/4680
S4545 MBWAWA,32,CHEMISTRY,23,23,0,0,23,11,4.4348,141/170,4232/4883
S4545 MBWAWA,33,BIOLOGY,26,26,0,0,26,25,3.5,45/170,842/4916
S4545 MBWAWA,41,BASIC MATHEMATICS,26,26,0,0,26,5,4.7308,62/170,1738/4919
S4544 MTUTURA,11,CIVICS,79,75,0,0,75,44,4.2267,134/190,3299/4919
S4544 MTUTURA,12,HISTORY,79,75,0,0,75,48,4.1467,86/190,1678/4896
S4544 MTUTURA,13,GEOGRAPHY,79,75,0,0,75,36,4.32,101/190,2718/4916
S4544 MTUTURA,21,KISWAHILI,79,75,0,0,75,71,3.16,107/190,2159/4919
S4544 MTUTURA,22,ENGLISH LANGUAGE,79,75,0,0,75,36,4.3733,134/190,3961/4919
S4544 MTUTURA,24,LITERATURE IN ENGLISH,79,75,0,0,75,34,4.4133,66/82,1150/1533
S4544 MTUTURA,32,CHEMISTRY,12,12,0,0,12,9,3.9167,101/185,2609/4883
S4544 MTUTURA,33,BIOLOGY,79,75,0,0,75,21,4.64,174/190,4358/4916
S4544 MTUTURA,41,BASIC MATHEMATICS,79,75,0,0,75,3,4.9467,122/190,4109/4919
S4543 BRILLIANT,11,CIVICS,60,60,0,0,60,57,3.4,76/299,773/4919
S4543 BRILLIANT,12,HISTORY,60,60,0,0,60,56,3.55,68/298,550/4896
S4543 BRILLIANT,13,GEOGRAPHY,60,60,0,0,60,54,3.5667,57/299,628/4916
S4543 BRILLIANT,21,KISWAHILI,60,60,0,0,60,60,2.7,52/299,695/4919
S4543 BRILLIANT,22,ENGLISH LANGUAGE,60,60,0,0,60,59,3.1833,91/299,698/4919
S4543 BRILLIANT,23,FRENCH LANGUAGE,5,5,0,0,5,5,3.8,12/19,75/173
S4543 BRILLIANT,24,LITERATURE IN ENGLISH,55,55,0,0,55,37,4.2182,88/128,937/1533
S4543 BRILLIANT,31,PHYSICS,24,24,0,0,24,17,4.0417,90/293,829/4680
S4543 BRILLIANT,32,CHEMISTRY,29,29,0,0,29,29,3.3103,71/293,740/4883
S4543 BRILLIANT,33,BIOLOGY,60,60,0,0,60,60,3.25,62/299,590/4916
S4543 BRILLIANT,41,BASIC MATHEMATICS,60,60,0,0,60,34,4.2167,68/299,559/4919
S4543 BRILLIANT,61,COMMERCE,8,8,0,0,8,7,4.0,54/175,273/853
S4543 BRILLIANT,62,BOOK-KEEPING,8,8,0,0,8,2,4.625,130/172,615/843
S4542 CHUNO,11,CIVICS,97,96,0,0,96,65,4.0104,37/146,2308/4919
S4542 CHUNO,12,HISTORY,97,96,0,0,96,63,4.0625,37/145,1429/4896
S4542 CHUNO,13,GEOGRAPHY,97,96,0,0,96,38,4.4063,60/146,3198/4916
S4542 CHUNO,15,ELIMU YA DINI YA KIISLAMU,70,69,0,0,69,31,4.5072,64/90,789/1135
S4542 CHUNO,21,KISWAHILI,97,96,0,0,96,90,3.1354,61/146,2031/4919
S4542 CHUNO,22,ENGLISH LANGUAGE,97,96,0,0,96,66,4.0625,36/146,2555/4919
S4542 CHUNO,24,LITERATURE IN ENGLISH,25,25,0,0,25,25,3.64,14/51,349/1533
S4542 CHUNO,31,PHYSICS,11,11,0,0,11,7,4.2727,22/98,1381/4680
S4542 CHUNO,32,CHEMISTRY,15,15,0,0,15,11,3.8,58/142,2223/4883
S4542 CHUNO,33,BIOLOGY,97,96,0,0,96,36,4.4583,55/146,3586/4916
S4542 CHUNO,41,BASIC MATHEMATICS,97,96,0,0,96,9,4.8438,19/146,2701/4919
S4540 MZAMBARAUTAKAO,11,CIVICS,115,112,0,0,112,17,4.8393,31/38,4879/4919
S4540 MZAMBARAUTAKAO,12,HISTORY,60,56,0,0,56,2,4.9643,27/34,4852/4896
S4540 MZAMBARAUTAKAO,13,GEOGRAPHY,115,112,0,0,112,11,4.8839,34/37,4870/4916
S4540 MZAMBARAUTAKAO,15,ELIMU YA DINI YA KIISLAMU,115,111,0,0,111,36,4.6396,34/38,931/1135
S4540 MZAMBARAUTAKAO,21,KISWAHILI,115,112,0,0,112,56,4.3393,33/38,4894/4919
S4540 MZAMBARAUTAKAO,22,ENGLISH LANGUAGE,115,112,0,0,112,22,4.7679,30/38,4856/4919
S4540 MZAMBARAUTAKAO,25,ARABIC LANGUAGE,102,98,0,0,98,7,4.9286,35/37,291/308
S4540 MZAMBARAUTAKAO,31,PHYSICS,56,56,0,0,56,4,4.9107,22/36,4110/4680
S4540 MZAMBARAUTAKAO,32,CHEMISTRY,56,56,0,0,56,22,4.5179,25/36,4388/4883
S4540 MZAMBARAUTAKAO,33,BIOLOGY,115,112,0,0,112,30,4.6786,22/37,4493/4916
S4540 MZAMBARAUTAKAO,41,BASIC MATHEMATICS,115,112,0,0,112,1,4.9911,30/38,4619/4919
S4539 AL HARAMYN,11,CIVICS,41,41,0,0,41,39,3.4634,19/88,855/4919
S4539 AL HARAMYN,12,HISTORY,15,15,0,0,15,15,3.8,18/82,872/4896
S4539 AL HARAMYN,13,GEOGRAPHY,41,41,0,0,41,41,3.2195,7/87,326/4916
S4539 AL HARAMYN,15,ELIMU YA DINI YA KIISLAMU,41,41,0,0,41,40,3.5366,23/88,109/1135
S4539 AL HARAMYN,21,KISWAHILI,41,41,0,0,41,41,3.0,18/88,1490/4919
S4539 AL HARAMYN,22,ENGLISH LANGUAGE,41,41,0,0,41,41,3.122,14/88,643/4919
S4539 AL HARAMYN,25,ARABIC LANGUAGE,19,19,0,0,19,19,3.2105,12/80,32/308
S4539 AL HARAMYN,31,PHYSICS,25,25,0,0,25,24,4.04,20/84,828/4680
S4539 AL HARAMYN,32,CHEMISTRY,27,27,0,0,27,27,3.1852,10/86,536/4883
S4539 AL HARAMYN,33,BIOLOGY,41,41,0,0,41,40,3.439,27/87,784/4916
S4539 AL HARAMYN,41,BASIC MATHEMATICS,41,41,0,0,41,38,4.0244,14/88,425/4919
S4539 AL HARAMYN,61,COMMERCE,11,11,0,0,11,2,4.8182,17/20,706/853
S4539 AL HARAMYN,62,BOOK-KEEPING,15,15,0,0,15,7,4.5333,17/20,568/843
S4538 SISTER'S OF USHIRIKA WA NEEMA,11,CIVICS,35,35,0,0,35,35,3.0857,2/37,415/4919
S4538 SISTER'S OF USHIRIKA WA NEEMA,12,HISTORY,35,35,0,0,35,35,3.4571,2/37,470/4896
S4538 SISTER'S OF USHIRIKA WA NEEMA,13,GEOGRAPHY,35,35,0,0,35,35,3.2571,2/37,354/4916
S4538 SISTER'S OF USHIRIKA WA NEEMA,21,KISWAHILI,35,35,0,0,35,34,1.9143,1/37,95/4919
S4538 SISTER'S OF USHIRIKA WA NEEMA,22,ENGLISH LANGUAGE,35,35,0,0,35,35,2.7429,2/37,380/4919
S4538 SISTER'S OF USHIRIKA WA NEEMA,31,PHYSICS,35,35,0,0,35,33,3.7143,3/37,347/4680
S4538 SISTER'S OF USHIRIKA WA NEEMA,32,CHEMISTRY,35,35,0,0,35,35,3.4,11/37,930/4883
S4538 SISTER'S OF USHIRIKA WA NEEMA,33,BIOLOGY,35,35,0,0,35,35,3.0571,2/37,420/4916
S4538 SISTER'S OF USHIRIKA WA NEEMA,41,BASIC MATHEMATICS,35,35,0,0,35,33,3.4,1/37,196/4919
S4537 MGONGO,11,CIVICS,40,39,0,0,39,28,3.8718,44/161,1760/4919
S4537 MGONGO,12,HISTORY,40,39,0,0,39,30,3.7179,14/161,760/4896
S4537 MGONGO,13,GEOGRAPHY,40,39,0,0,39,37,3.4359,10/161,493/4916
S4537 MGONGO,21,KISWAHILI,40,39,0,0,39,38,2.9487,40/161,1292/4919
S4537 MGONGO,22,ENGLISH LANGUAGE,40,39,0,0,39,34,3.7179,30/161,1401/4919
S4537 MGONGO,31,PHYSICS,11,11,0,0,11,5,4.3636,39/155,1659/4680
S4537 MGONGO,32,CHEMISTRY,14,14,0,0,14,14,3.3571,17/161,829/4883
S4537 MGONGO,33,BIOLOGY,40,39,0,0,39,30,3.8205,31/161,1231/4916
S4537 MGONGO,41,BASIC MATHEMATICS,40,39,0,0,39,11,4.6154,25/161,1156/4919
S4536 MGALO,11,CIVICS,55,53,0,0,53,32,4.2642,144/163,3476/4919
S4536 MGALO,12,HISTORY,55,53,0,0,53,10,4.717,155/162,4390/4896
S4536 MGALO,13,GEOGRAPHY,55,53,0,0,53,16,4.5283,151/163,3882/4916
S4536 MGALO,21,KISWAHILI,55,53,0,0,53,50,3.283,151/163,2752/4919
S4536 MGALO,22,ENGLISH LANGUAGE,55,53,0,0,53,22,4.4906,156/163,4376/4919
S4536 MGALO,23,FRENCH LANGUAGE,13,13,0,0,13,5,4.6154,5/5,152/173
S4536 MGALO,31,PHYSICS,5,5,0,0,5,0,5.0,158/160,4570/4680
S4536 MGALO,32,CHEMISTRY,9,9,0,0,9,7,4.0,85/162,2933/4883
S4536 MGALO,33,BIOLOGY,55,53,0,0,53,17,4.566,146/163,4087/4916
S4536 MGALO,41,BASIC MATHEMATICS,55,53,0,0,53,2,4.9623,154/163,4318/4919
S4534 MUBABA,11,CIVICS,142,137,0,0,137,114,3.8321,92/245,1629/4919
S4534 MUBABA,12,HISTORY,142,137,0,0,137,131,3.8905,56/245,1022/4896
S4534 MUBABA,13,GEOGRAPHY,142,137,0,0,137,108,3.8321,57/245,991/4916
S4534 MUBABA,21,KISWAHILI,142,137,0,0,137,136,2.6277,34/245,575/4919
S4534 MUBABA,22,ENGLISH LANGUAGE,142,137,0,0,137,126,3.7007,81/245,1374/4919
S4534 MUBABA,31,PHYSICS,74,72,0,0,72,32,4.5278,157/243,2321/4680
S4534 MUBABA,32,CHEMISTRY,72,70,0,0,70,64,3.6429,101/245,1643/4883
S4534 MUBABA,33,BIOLOGY,142,137,0,0,137,130,3.6569,59/245,1002/4916
S4534 MUBABA,41,BASIC MATHEMATICS,142,137,0,0,137,45,4.6423,68/245,1255/4919
S4533 SHAJI,11,CIVICS,60,60,0,0,60,29,4.3167,83/108,3716/4919
S4533 SHAJI,12,HISTORY,60,60,0,0,60,27,4.3667,63/108,2618/4896
S4533 SHAJI,13,GEOGRAPHY,60,60,0,0,60,22,4.5,87/108,3724/4916
S4533 SHAJI,21,KISWAHILI,60,60,0,0,60,58,3.2167,57/108,2440/4919
S4533 SHAJI,22,ENGLISH LANGUAGE,60,60,0,0,60,26,4.4333,90/108,4196/4919
S4533 SHAJI,24,LITERATURE IN ENGLISH,28,28,0,0,28,20,4.0714,29/60,776/1533
S4533 SHAJI,31,PHYSICS,20,20,0,0,20,2,4.9,84/103,4047/4680
S4533 SHAJI,32,CHEMISTRY,22,22,0,0,22,18,3.8636,48/108,2438/4883
S4533 SHAJI,33,BIOLOGY,60,60,0,0,60,24,4.45,77/108,3546/4916
S4533 SHAJI,41,BASIC MATHEMATICS,60,60,0,0,60,5,4.8833,67/108,3228/4919
S4532 PAGWI,11,CIVICS,59,55,0,0,55,29,4.3455,141/282,3829/4919
S4532 PAGWI,12,HISTORY,59,55,0,0,55,33,4.2364,61/281,2001/4896
S4532 PAGWI,13,GEOGRAPHY,59,55,0,0,55,16,4.6182,182/282,4266/4916
S4532 PAGWI,21,KISWAHILI,59,55,0,0,55,35,3.9636,262/282,4758/4919
S4532 PAGWI,22,ENGLISH LANGUAGE,59,55,0,0,55,21,4.4909,212/282,4377/4919
S4532 PAGWI,31,PHYSICS,19,19,0,0,19,3,4.8421,151/246,3770/4680
S4532 PAGWI,32,CHEMISTRY,24,24,0,0,24,11,4.4583,191/274,4275/4883
S4532 PAGWI,33,BIOLOGY,59,55,0,0,55,33,4.2364,63/282,2552/4916
S4532 PAGWI,41,BASIC MATHEMATICS,59,55,0,0,55,2,4.9273,142/282,3840/4919
S4531 NEGERO,11,CIVICS,77,74,0,1,73,37,4.2877,117/282,3603/4919
S4531 NEGERO,12,HISTORY,77,73,0,0,73,34,4.3836,93/281,2710/4896
S4531 NEGERO,13,GEOGRAPHY,77,74,0,1,73,37,4.3699,85/282,2979/4916
S4531 NEGERO,21,KISWAHILI,77,74,0,1,73,61,3.4932,158/282,3709/4919
S4531 NEGERO,22,ENGLISH LANGUAGE,77,74,0,1,73,38,4.2603,131/282,3473/4919
S4531 NEGERO,31,PHYSICS,40,40,0,0,40,5,4.85,155/246,3810/4680
S4531 NEGERO,32,CHEMISTRY,48,48,0,0,48,28,4.25,151/274,3726/4883
S4531 NEGERO,33,BIOLOGY,77,74,0,1,73,35,4.3699,88/282,3160/4916
S4531 NEGERO,41,BASIC MATHEMATICS,77,74,0,1,73,7,4.8767,84/282,3143/4919
S4530 MLUNGUI,11,CIVICS,57,57,0,0,57,12,4.7544,271/282,4800/4919
S4530 MLUNGUI,12,HISTORY,57,57,0,0,57,3,4.9123,274/281,4799/4896
S4530 MLUNGUI,13,GEOGRAPHY,57,57,0,0,57,5,4.8772,276/282,4864/4916
S4530 MLUNGUI,21,KISWAHILI,57,57,0,0,57,46,3.7895,233/282,4561/4919
S4530 MLUNGUI,22,ENGLISH LANGUAGE,57,57,0,0,57,17,4.6667,265/282,4744/4919
S4530 MLUNGUI,32,CHEMISTRY,20,20,0,0,20,4,4.8,255/274,4781/4883
S4530 MLUNGUI,33,BIOLOGY,57,57,0,0,57,4,4.9123,276/282,4891/4916
S4530 MLUNGUI,41,BASIC MATHEMATICS,57,57,0,0,57,0,5.0,243/282,4705/4919
S4529 ISAGENHE,11,CIVICS,22,19,0,0,19,12,4.2632,153/176,3471/4919
S4529 ISAGENHE,12,HISTORY,22,19,0,0,19,11,4.2632,111/176,2110/4896
S4529 ISAGENHE,13,GEOGRAPHY,22,19,0,0,19,14,4.0,64/176,1360/4916
S4529 ISAGENHE,21,KISWAHILI,22,19,0,0,19,19,3.0526,77/176,1687/4919
S4529 ISAGENHE,22,ENGLISH LANGUAGE,22,19,0,0,19,13,4.1053,124/176,2730/4919
S4529 ISAGENHE,31,PHYSICS,10,9,0,0,9,1,4.7778,142/167,3450/4680
S4529 ISAGENHE,32,CHEMISTRY,13,11,0,0,11,4,4.4545,167/176,4265/4883
S4529 ISAGENHE,33,BIOLOGY,22,19,0,0,19,12,4.1053,100/176,2007/4916
S4529 ISAGENHE,41,BASIC MATHEMATICS,22,19,0,0,19,1,4.9474,159/176,4124/4919
S4528 MUHUGI,11,CIVICS,17,17,0,0,17,16,3.4706,26/176,873/4919
S4528 MUHUGI,12,HISTORY,17,17,0,0,17,14,3.8824,48/176,1001/4896
S4528 MUHUGI,13,GEOGRAPHY,17,17,0,0,17,17,3.4706,16/176,515/4916
S4528 MUHUGI,21,KISWAHILI,17,17,0,0,17,17,2.6471,25/176,615/4919
S4528 MUHUGI,22,ENGLISH LANGUAGE,17,17,0,0,17,15,3.6471,48/176,1250/4919
S4528 MUHUGI,24,LITERATURE IN ENGLISH,10,10,0,0,10,10,3.9,36/57,603/1533
S4528 MUHUGI,31,PHYSICS,2,2,0,0,2,2,4.0,35/167,778/4680
S4528 MUHUGI,32,CHEMISTRY,9,9,0,0,9,8,3.7778,89/176,2144/4883
S4528 MUHUGI,33,BIOLOGY,17,17,0,0,17,11,4.1765,114/176,2266/4916
S4528 MUHUGI,41,BASIC MATHEMATICS,17,17,0,0,17,3,4.7647,81/176,1971/4919
S4527 ITILO,11,CIVICS,34,32,0,0,32,30,3.5,30/176,915/4919
S4527 ITILO,12,HISTORY,34,32,0,0,32,28,3.6875,33/176,715/4896
S4527 ITILO,13,GEOGRAPHY,34,32,0,0,32,31,3.5313,21/176,586/4916
S4527 ITILO,21,KISWAHILI,34,32,0,0,32,32,2.5,12/176,387/4919
S4527 ITILO,22,ENGLISH LANGUAGE,34,32,0,0,32,28,3.75,61/176,1489/4919
S4527 ITILO,31,PHYSICS,8,8,0,0,8,4,4.5,98/167,2209/4680
S4527 ITILO,32,CHEMISTRY,12,12,0,0,12,12,3.5833,71/176,1473/4883
S4527 ITILO,33,BIOLOGY,34,32,0,0,32,25,3.9063,57/176,1410/4916
S4527 ITILO,41,BASIC MATHEMATICS,34,32,0,0,32,7,4.7188,59/176,1649/4919
S4526 KASELA,11,CIVICS,34,33,0,0,33,29,3.5455,37/176,981/4919
S4526 KASELA,12,HISTORY,34,33,0,0,33,31,3.5152,21/176,523/4896
S4526 KASELA,13,GEOGRAPHY,34,33,0,0,33,28,3.5758,24/176,643/4916
S4526 KASELA,21,KISWAHILI,34,33,0,0,33,32,2.9091,50/176,1179/4919
S4526 KASELA,22,ENGLISH LANGUAGE,34,33,0,0,33,30,3.6364,46/176,1231/4919
S4526 KASELA,31,PHYSICS,3,3,0,0,3,2,4.3333,74/167,1584/4680
S4526 KASELA,32,CHEMISTRY,9,9,0,0,9,9,3.8889,104/176,2516/4883
S4526 KASELA,33,BIOLOGY,34,33,0,0,33,27,3.7879,42/176,1183/4916
S4526 KASELA,41,BASIC MATHEMATICS,34,33,0,0,33,6,4.7879,86/176,2152/4919
S4525 SIGILI,11,CIVICS,37,37,0,0,37,28,4.027,108/176,2362/4919
S4525 SIGILI,12,HISTORY,37,37,0,0,37,24,3.9459,57/176,1111/4896
S4525 SIGILI,13,GEOGRAPHY,37,37,0,0,37,29,3.8378,43/176,1007/4916
S4525 SIGILI,21,KISWAHILI,37,37,0,0,37,35,3.3243,121/176,2978/4919
S4525 SIGILI,22,ENGLISH LANGUAGE,37,37,0,0,37,29,3.8919,90/176,1890/4919
S4525 SIGILI,24,LITERATURE IN ENGLISH,19,19,0,0,19,16,3.8947,35/57,594/1533
S4525 SIGILI,31,PHYSICS,7,7,0,0,7,5,4.0,30/167,733/4680
S4525 SIGILI,32,CHEMISTRY,10,10,0,0,10,10,3.3,27/176,718/4883
S4525 SIGILI,33,BIOLOGY,37,37,0,0,37,24,4.0541,84/176,1828/4916
S4525 SIGILI,41,BASIC MATHEMATICS,37,37,0,0,37,5,4.7568,76/176,1906/4919
S4524 KILOLI,11,CIVICS,20,20,0,0,20,14,4.05,112/176,2459/4919
S4524 KILOLI,12,HISTORY,20,20,0,0,20,12,4.3,121/176,2298/4896
S4524 KILOLI,13,GEOGRAPHY,20,20,0,0,20,11,4.25,117/176,2365/4916
S4524 KILOLI,21,KISWAHILI,20,20,0,0,20,19,3.1,84/176,1883/4919
S4524 KILOLI,22,ENGLISH LANGUAGE,20,20,0,0,20,15,4.15,129/176,2922/4919
S4524 KILOLI,31,PHYSICS,14,14,0,0,14,2,4.8571,154/167,3839/4680
S4524 KILOLI,32,CHEMISTRY,14,14,0,0,14,10,4.0,118/176,2896/4883
S4524 KILOLI,33,BIOLOGY,20,20,0,0,20,12,4.25,132/176,2615/4916
S4524 KILOLI,41,BASIC MATHEMATICS,20,20,0,0,20,0,5.0,175/176,4869/4919
S4523 MKULUMUZI,11,CIVICS,73,72,0,0,72,32,4.3333,136/282,3785/4919
S4523 MKULUMUZI,12,HISTORY,73,72,0,0,72,21,4.6111,164/281,3921/4896
S4523 MKULUMUZI,13,GEOGRAPHY,73,72,0,0,72,27,4.4306,99/282,3355/4916
S4523 MKULUMUZI,15,ELIMU YA DINI YA KIISLAMU,29,29,0,0,29,16,4.3103,84/175,546/1135
S4523 MKULUMUZI,21,KISWAHILI,73,72,0,0,72,64,3.5139,170/282,3822/4919
S4523 MKULUMUZI,22,ENGLISH LANGUAGE,73,72,0,0,72,34,4.25,127/282,3422/4919
S4523 MKULUMUZI,31,PHYSICS,5,5,0,0,5,1,4.8,137/246,3567/4680
S4523 MKULUMUZI,32,CHEMISTRY,15,15,0,0,15,7,4.4,180/274,4145/4883
S4523 MKULUMUZI,33,BIOLOGY,73,72,0,0,72,14,4.75,225/282,4674/4916
S4523 MKULUMUZI,41,BASIC MATHEMATICS,73,72,0,0,72,2,4.9722,214/282,4442/4919
S4522 BWEMBWERA,11,CIVICS,49,47,0,0,47,12,4.7021,259/282,4745/4919
S4522 BWEMBWERA,12,HISTORY,49,47,0,0,47,8,4.766,229/281,4541/4896
S4522 BWEMBWERA,13,GEOGRAPHY,49,47,0,0,47,12,4.7021,221/282,4528/4916
S4522 BWEMBWERA,21,KISWAHILI,49,47,0,0,47,37,3.766,225/282,4517/4919
S4522 BWEMBWERA,22,ENGLISH LANGUAGE,49,47,0,0,47,18,4.5106,220/282,4436/4919
S4522 BWEMBWERA,31,PHYSICS,4,4,0,0,4,4,3.75,16/246,389/4680
S4522 BWEMBWERA,32,CHEMISTRY,18,17,0,0,17,7,4.4706,194/274,4298/4883
S4522 BWEMBWERA,33,BIOLOGY,49,47,0,0,47,14,4.6383,178/282,4352/4916
S4522 BWEMBWERA,41,BASIC MATHEMATICS,49,47,0,0,47,3,4.9149,121/282,3677/4919
S4521 MLINGA,11,CIVICS,31,30,0,0,30,13,4.3667,148/282,3911/4919
S4521 MLINGA,12,HISTORY,31,30,0,0,30,10,4.5333,138/281,3507/4896
S4521 MLINGA,13,GEOGRAPHY,31,30,0,0,30,9,4.6333,193/282,4326/4916
S4521 MLINGA,21,KISWAHILI,31,30,0,0,30,29,3.5,162/282,3761/4919
S4521 MLINGA,22,ENGLISH LANGUAGE,31,30,0,0,30,18,4.1,92/282,2711/4919
S4521 MLINGA,32,CHEMISTRY,3,3,0,0,3,3,4.0,114/274,2993/4883
S4521 MLINGA,33,BIOLOGY,31,30,0,0,30,9,4.6,163/282,4225/4916
S4521 MLINGA,41,BASIC MATHEMATICS,31,30,0,0,30,0,5.0,265/282,4804/4919
S4520 KWEMKABARA,11,CIVICS,161,161,0,0,161,81,4.3354,138/282,3800/4919
S4520 KWEMKABARA,12,HISTORY,161,161,0,0,161,64,4.4845,119/281,3238/4896
S4520 KWEMKABARA,13,GEOGRAPHY,161,161,0,0,161,74,4.4161,96/282,3248/4916
S4520 KWEMKABARA,15,ELIMU YA DINI YA KIISLAMU,108,107,0,0,107,29,4.6822,155/175,972/1135
S4520 KWEMKABARA,21,KISWAHILI,161,161,0,0,161,148,3.354,107/282,3097/4919
S4520 KWEMKABARA,22,ENGLISH LANGUAGE,161,161,0,0,161,95,4.1553,103/282,2941/4919
S4520 KWEMKABARA,24,LITERATURE IN ENGLISH,71,71,0,0,71,32,4.4789,49/66,1212/1533
S4520 KWEMKABARA,31,PHYSICS,53,53,0,0,53,12,4.7358,114/246,3209/4680
S4520 KWEMKABARA,32,CHEMISTRY,53,53,0,0,53,36,4.0755,122/274,3160/4883
S4520 KWEMKABARA,33,BIOLOGY,161,161,0,0,161,67,4.4348,103/282,3478/4916
S4520 KWEMKABARA,41,BASIC MATHEMATICS,161,161,0,0,161,14,4.8882,90/282,3276/4919
S4519 TUTUO,11,CIVICS,97,94,0,0,94,51,4.2872,156/176,3600/4919
S4519 TUTUO,12,HISTORY,97,94,0,0,94,47,4.383,138/176,2707/4896
S4519 TUTUO,13,GEOGRAPHY,97,94,0,0,94,33,4.5319,162/176,3904/4916
S4519 TUTUO,21,KISWAHILI,97,94,0,0,94,91,3.3511,125/176,3080/4919
S4519 TUTUO,22,ENGLISH LANGUAGE,97,94,0,0,94,52,4.266,153/176,3504/4919
S4519 TUTUO,24,LITERATURE IN ENGLISH,13,13,0,0,13,12,3.4615,11/57,232/1533
S4519 TUTUO,31,PHYSICS,6,5,0,0,5,1,4.8,149/167,3566/4680
S4519 TUTUO,32,CHEMISTRY,10,9,0,0,9,9,3.7778,88/176,2141/4883
S4519 TUTUO,33,BIOLOGY,97,94,0,0,94,48,4.4043,154/176,3316/4916
S4519 TUTUO,41,BASIC MATHEMATICS,97,94,0,0,94,4,4.9574,163/176,4240/4919
S4518 HIGHVIEW,11,CIVICS,130,129,0,0,129,104,3.6822,106/299,1223/4919
S4518 HIGHVIEW,12,HISTORY,130,129,0,0,129,106,3.845,97/298,943/4896
S4518 HIGHVIEW,13,GEOGRAPHY,130,129,0,0,129,81,4.1395,119/299,1815/4916
S4518 HIGHVIEW,21,KISWAHILI,130,129,0,0,129,127,3.2016,133/299,2369/4919
S4518 HIGHVIEW,22,ENGLISH LANGUAGE,130,129,0,0,129,123,2.9922,73/299,520/4919
S4518 HIGHVIEW,31,PHYSICS,60,60,0,0,60,21,4.65,216/293,2808/4680
S4518 HIGHVIEW,32,CHEMISTRY,60,60,0,0,60,43,4.0,205/293,2804/4883
S4518 HIGHVIEW,33,BIOLOGY,130,129,0,0,129,95,3.907,112/299,1412/4916
S4518 HIGHVIEW,41,BASIC MATHEMATICS,130,129,0,0,129,44,4.5039,98/299,872/4919
S4518 HIGHVIEW,61,COMMERCE,25,25,0,0,25,10,4.52,104/175,526/853
S4518 HIGHVIEW,62,BOOK-KEEPING,25,25,0,0,25,14,4.2,71/172,367/843
S4517 MLANG'A,11,CIVICS,141,139,0,0,139,108,3.8129,122/317,1564/4919
S4517 MLANG'A,12,HISTORY,141,139,0,0,139,73,4.2734,148/317,2156/4896
S4517 MLANG'A,13,GEOGRAPHY,141,139,0,0,139,101,3.9496,103/317,1210/4916
S4517 MLANG'A,21,KISWAHILI,141,139,0,0,139,135,3.0647,115/317,1738/4919
S4517 MLANG'A,22,ENGLISH LANGUAGE,141,139,0,0,139,125,3.5396,103/317,1074/4919
S4517 MLANG'A,31,PHYSICS,51,51,0,0,51,40,4.1176,82/316,973/4680
S4517 MLANG'A,32,CHEMISTRY,65,65,0,0,65,63,3.2308,47/317,602/4883
S4517 MLANG'A,33,BIOLOGY,141,139,0,0,139,121,3.4892,77/317,832/4916
