exam_center,CENTRE CATEGORY,CENTRE POSITION IN ITS CATEGORY(NATIONWISE),CENTRE POSITION IN ITS CATEGORY(REGIONWISE),EXAMINATION CENTRE GPA,EXAMINATION CENTRE REGION,TOTAL PASSED CANDIDATES,REGIST,ABSENT,SAT,WITHHELD,NO-CA,CLEAN,DIV I,DIV II,DIV III,DIV IV,DIV 0
S1730 KIDEGEMBYE,CENTRE WITH 40 CANDIDATES OR MORE,1520/3908,54/95,3.8970,NJOMBE,82,87,0,87,0,0,87,2,8,12,60,5
S1731 IFWAGI,CENTRE WITH 40 CANDIDATES OR MORE,1522/3908,67/134,3.8974,IRINGA,92,103,4,99,0,0,99,2,7,16,67,7
S1732 MBALAMAZIWA,CENTRE WITH 40 CANDIDATES OR MORE,2608/3908,118/134,4.1232,IRINGA,77,93,0,93,0,0,93,0,4,15,58,16
S1733 BANJIKA,CENTRE WITH 40 CANDIDATES OR MORE,3011/3908,163/178,4.2150,ARUSHA,68,99,1,98,0,0,98,1,2,13,52,30
S1734 KIMWERI,CENTRE WITH 40 CANDIDATES OR MORE,2600/3908,76/215,4.1212,TANGA,73,103,5,98,0,0,98,1,5,15,52,25
S1735 NKOME,CENTRE WITH 40 CANDIDATES OR MORE,3638/3908,101/102,4.4020,GEITA,120,235,2,233,0,0,233,0,5,29,86,113
S1736 ZIMBWINI,CENTRE WITH 40 CANDIDATES OR MORE,3483/3908,110/129,4.3442,PWANI,135,227,2,225,0,0,225,1,11,17,106,90
S1737 NGALEKU,CENTRE WITH 40 CANDIDATES OR MORE,3076/3908,234/276,4.2283,KILIMANJARO,68,86,0,86,0,0,86,0,1,9,58,18
S1738 NYAMBONO,CENTRE WITH 40 CANDIDATES OR MORE,3444/3908,146/177,4.3281,MARA,88,168,5,163,0,0,163,0,12,13,63,75
S1739 NKENDE,CENTRE WITH 40 CANDIDATES OR MORE,2131/3908,63/177,4.0327,MARA,121,159,4,155,0,0,155,2,12,25,82,34
S1740 BISHOP MPANGO,CENTRE WITH LESS THAN 40 CANDIDATES,131/1011,6/34,3.0761,KIGOMA,27,27,0,27,0,0,27,3,6,15,3,0
S1741 CHAMAZI DAY,CENTRE WITH 40 CANDIDATES OR MORE,2535/3908,152/237,4.1105,DAR ES SALAAM,367,470,3,467,0,0,467,0,41,61,265,100
S1742 LUBANGA,CENTRE WITH 40 CANDIDATES OR MORE,3538/3908,99/102,4.3633,GEITA,39,63,2,61,0,0,61,0,1,5,33,22
S1743 MWAMALA,CENTRE WITH 40 CANDIDATES OR MORE,2232/3908,160/246,4.0513,MWANZA,58,82,0,82,0,0,82,1,8,12,37,24
S1744 SHABAKA,CENTRE WITH 40 CANDIDATES OR MORE,1990/3908,59/102,4.0031,GEITA,110,137,2,135,3,0,132,1,11,17,81,22
S1745 MTIBWA,CENTRE WITH 40 CANDIDATES OR MORE,3884/3908,175/176,4.6538,MOROGORO,46,129,2,127,0,0,127,0,0,6,40,81
S1746 ULA,CENTRE WITH 40 CANDIDATES OR MORE,3827/3908,150/152,4.5360,DODOMA,84,183,4,179,0,0,179,0,6,9,69,95
S1747 KIBEREGE,CENTRE WITH 40 CANDIDATES OR MORE,1208/3908,57/176,3.8086,MOROGORO,92,94,1,93,0,0,93,3,9,12,68,1
S1748 KWAGUNDA,CENTRE WITH 40 CANDIDATES OR MORE,3171/3908,118/215,4.2489,TANGA,72,99,3,96,0,0,96,0,6,3,63,24
S1749 MANG'HALANGA,CENTRE WITH 40 CANDIDATES OR MORE,2614/3908,184/246,4.1240,MWANZA,33,48,2,46,0,0,46,0,3,7,23,13
S1750 KASEME,CENTRE WITH 40 CANDIDATES OR MORE,1853/3908,52/102,3.9718,GEITA,87,113,5,108,0,0,108,2,7,19,59,21
S1751 SIZAKI,CENTRE WITH 40 CANDIDATES OR MORE,1655/3908,45/177,3.9293,MARA,59,72,2,70,0,0,70,1,6,13,39,11
S1752 NYAMATONGO,CENTRE WITH 40 CANDIDATES OR MORE,3257/3908,227/246,4.2705,MWANZA,102,182,7,175,0,0,175,2,12,15,73,73
S1753 SALAMA,CENTRE WITH 40 CANDIDATES OR MORE,3493/3908,148/177,4.3472,MARA,58,105,3,102,0,0,102,0,6,8,44,44
S1754 FOREST,CENTRE WITH 40 CANDIDATES OR MORE,2096/3908,119/187,4.0250,MBEYA,110,149,5,144,1,0,143,3,10,23,74,33
S1755 UONDWE,CENTRE WITH 40 CANDIDATES OR MORE,3854/3908,25/32,4.5714,KASKAZINI PEMBA,60,124,2,122,0,0,122,0,2,3,55,62
S1756 CENTRAL BUHONGWA,CENTRE WITH 40 CANDIDATES OR MORE,473/3908,35/246,3.1759,MWANZA,65,65,0,65,0,0,65,3,15,34,13,0
S1757 BENDEL MEMORIAL,CENTRE WITH 40 CANDIDATES OR MORE,99/3908,12/276,2.1467,KILIMANJARO,122,122,0,122,0,0,122,58,48,14,2,0
S1758 MGOMBA DAY,CENTRE WITH 40 CANDIDATES OR MORE,3215/3908,114/137,4.2600,RUVUMA,78,119,6,113,0,0,113,0,3,17,58,35
S1759 ILAGALA,CENTRE WITH 40 CANDIDATES OR MORE,2682/3908,98/137,4.1389,KIGOMA,132,163,0,163,0,0,163,0,4,25,103,31
S1760 CHITENGULE,CENTRE WITH 40 CANDIDATES OR MORE,2080/3908,59/177,4.0213,MARA,132,211,22,189,0,0,189,3,23,22,84,57
S1761 MAKANGARAWE,CENTRE WITH LESS THAN 40 CANDIDATES,914/1011,54/62,4.3446,DAR ES SALAAM,20,35,0,35,3,0,32,0,0,5,15,12
S1762 BOMALANG'OMBE,CENTRE WITH 40 CANDIDATES OR MORE,1435/3908,60/134,3.8729,IRINGA,40,43,1,42,0,0,42,0,3,9,28,2
S1763 LUTANGILO,CENTRE WITH 40 CANDIDATES OR MORE,431/3908,19/134,3.1060,IRINGA,41,41,0,41,0,0,41,1,19,15,6,0
S1764 IPALAMWA,CENTRE WITH LESS THAN 40 CANDIDATES,222/1011,14/29,3.4147,IRINGA,20,20,0,20,0,0,20,1,4,6,9,0
S1765 MURUBONA MUSLIM,CENTRE WITH 40 CANDIDATES OR MORE,465/3908,21/137,3.1608,KIGOMA,104,104,0,104,0,0,104,1,35,50,18,0
S1766 CHUKWANI,CENTRE WITH 40 CANDIDATES OR MORE,3016/3908,33/66,4.2156,MJINI MAGHARIBI,105,122,3,119,0,0,119,0,1,11,93,14
S1768 MAKONGENI,CENTRE WITH 40 CANDIDATES OR MORE,3893/3908,30/32,4.6712,KASKAZINI PEMBA,17,47,1,46,0,0,46,0,1,1,15,29
S1769 SHANTA MINE,CENTRE WITH 40 CANDIDATES OR MORE,1033/3908,25/102,3.7477,GEITA,233,263,2,261,0,0,261,8,29,55,141,28
S1770 IMAGE,CENTRE WITH 40 CANDIDATES OR MORE,445/3908,20/134,3.1242,IRINGA,98,99,1,98,0,0,98,5,30,49,14,0
S1771 VUMILIA,CENTRE WITH 40 CANDIDATES OR MORE,1660/3908,65/111,3.9298,TABORA,48,56,1,55,0,0,55,1,3,11,33,7
S1772 MLETELE,CENTRE WITH LESS THAN 40 CANDIDATES,629/1011,29/53,4.0059,RUVUMA,29,32,0,32,0,0,32,0,3,4,22,3
S1773 MIEMBE SABA,CENTRE WITH 40 CANDIDATES OR MORE,2389/3908,56/129,4.0799,PWANI,126,173,0,173,0,0,173,3,13,24,86,47
S1774 MGULASI,CENTRE WITH 40 CANDIDATES OR MORE,3386/3908,143/176,4.3073,MOROGORO,152,241,0,241,0,0,241,1,16,14,121,89
S1775 BUYAGU,CENTRE WITH 40 CANDIDATES OR MORE,1366/3908,96/246,3.8519,MWANZA,86,100,0,100,0,0,100,3,10,21,52,14
S1776 BULELA,CENTRE WITH 40 CANDIDATES OR MORE,1028/3908,24/102,3.7454,GEITA,73,87,5,82,0,0,82,3,13,9,48,9
S1777 NYAMALIMBE,CENTRE WITH 40 CANDIDATES OR MORE,2044/3908,63/102,4.0150,GEITA,84,114,5,109,0,0,109,2,8,19,55,25
S1778 KIRONGWE,CENTRE WITH 40 CANDIDATES OR MORE,2556/3908,61/129,4.1134,PWANI,39,47,1,46,0,0,46,1,2,3,33,7
S1779 MRIJO,CENTRE WITH 40 CANDIDATES OR MORE,3881/3908,152/152,4.6396,DODOMA,54,139,4,135,0,0,135,0,1,4,49,81
S1780 MWANDETE,CENTRE WITH LESS THAN 40 CANDIDATES,415/1011,31/50,3.7732,SIMIYU,32,35,0,35,0,0,35,0,5,9,18,3
S1781 KADOTO,CENTRE WITH 40 CANDIDATES OR MORE,621/3908,15/100,3.4090,SIMIYU,55,60,1,59,0,0,59,3,14,15,23,4
S1782 NYABUBINZA,CENTRE WITH 40 CANDIDATES OR MORE,1078/3908,41/100,3.7681,SIMIYU,58,60,0,60,0,0,60,0,9,8,41,2
S1783 ISANGA,CENTRE WITH LESS THAN 40 CANDIDATES,563/1011,41/50,3.9507,SIMIYU,29,36,1,35,0,0,35,0,4,4,21,6
S1784 IPILILO,CENTRE WITH 40 CANDIDATES OR MORE,593/3908,12/100,3.3661,SIMIYU,68,72,4,68,0,0,68,2,17,16,33,0
S1785 MWAGALA,CENTRE WITH 40 CANDIDATES OR MORE,1119/3908,42/100,3.7831,SIMIYU,71,85,2,83,0,0,83,3,11,17,40,12
S1786 LUICHE,CENTRE WITH 40 CANDIDATES OR MORE,2928/3908,106/137,4.1942,KIGOMA,74,103,2,101,0,0,101,1,3,14,56,27
S1787 ILOMBA,CENTRE WITH 40 CANDIDATES OR MORE,1942/3908,109/187,3.9919,MBEYA,273,331,8,323,0,0,323,8,33,38,194,50
S1788 CHIGUNGA,CENTRE WITH 40 CANDIDATES OR MORE,2877/3908,82/102,4.1802,GEITA,62,101,2,99,0,0,99,1,9,12,40,37
S1789 KOJANI,CENTRE WITH 40 CANDIDATES OR MORE,3784/3908,21/32,4.4909,KASKAZINI PEMBA,38,66,0,66,0,0,66,0,0,5,33,28
S1790 BUKULU,CENTRE WITH 40 CANDIDATES OR MORE,3329/3908,131/152,4.2882,DODOMA,54,74,1,73,0,0,73,0,1,8,45,19
S1791 MVUMI MAKULU,CENTRE WITH 40 CANDIDATES OR MORE,2055/3908,70/152,4.0172,DODOMA,76,95,7,88,0,0,88,0,8,12,56,12
S1792 TRUST PATRICK,CENTRE WITH 40 CANDIDATES OR MORE,142/3908,10/178,2.3561,ARUSHA,41,41,0,41,0,0,41,13,22,6,0,0
S1793 KILINDI,CENTRE WITH 40 CANDIDATES OR MORE,3875/3908,34/38,4.6064,KUSINI PEMBA,38,86,1,85,0,0,85,0,0,6,32,47
S1794 WESHA,CENTRE WITH 40 CANDIDATES OR MORE,3644/3908,21/38,4.4054,KUSINI PEMBA,45,73,2,71,0,0,71,0,2,5,38,26
S1795 WAMBAA,CENTRE WITH 40 CANDIDATES OR MORE,3665/3908,22/38,4.4134,KUSINI PEMBA,57,94,3,91,0,0,91,0,3,7,47,34
S1796 DR. DIDAS MASABURI,CENTRE WITH LESS THAN 40 CANDIDATES,823/1011,48/62,4.2115,DAR ES SALAAM,4,24,2,22,16,0,6,0,0,2,2,2
S1797 WAMPEMBE,CENTRE WITH 40 CANDIDATES OR MORE,3758/3908,70/70,4.4718,RUKWA,41,72,0,72,0,0,72,0,0,3,38,31
S1798 MAKONGOLOSI,CENTRE WITH 40 CANDIDATES OR MORE,2465/3908,136/187,4.0954,MBEYA,95,121,4,117,0,0,117,0,8,10,77,22
S1799 KIBUTUKA,CENTRE WITH LESS THAN 40 CANDIDATES,620/1011,21/61,3.9996,LINDI,28,32,3,29,0,0,29,0,3,3,22,1
S1800 NSIMBO,CENTRE WITH 40 CANDIDATES OR MORE,1122/3908,9/33,3.7842,KATAVI,70,78,1,77,0,0,77,4,8,9,49,7
S1801 KENSWA,CENTRE WITH 40 CANDIDATES OR MORE,2939/3908,29/33,4.1963,KATAVI,103,150,10,140,0,0,140,3,3,14,83,37
S1802 BWERI,CENTRE WITH 40 CANDIDATES OR MORE,3073/3908,120/177,4.2278,MARA,129,204,6,198,0,0,198,1,15,17,96,69
S1803 LOWASSA,CENTRE WITH 40 CANDIDATES OR MORE,1518/3908,95/178,3.8963,ARUSHA,149,166,0,166,0,0,166,3,15,25,106,17
S1804 KILABELA,CENTRE WITH 40 CANDIDATES OR MORE,1961/3908,145/246,3.9952,MWANZA,178,226,6,220,0,0,220,4,21,29,124,42
S1805 MKOREHA,CENTRE WITH LESS THAN 40 CANDIDATES,906/1011,25/28,4.3391,MTWARA,24,39,0,39,0,0,39,0,2,3,19,15
S1806 YUSUF MAKAMBA,CENTRE WITH 40 CANDIDATES OR MORE,3773/3908,224/237,4.4791,DAR ES SALAAM,143,263,6,257,0,0,257,0,1,15,127,114
S1807 USHIRIKA,CENTRE WITH 40 CANDIDATES OR MORE,2296/3908,50/118,4.0630,MTWARA,63,70,0,70,0,0,70,0,6,8,49,7
S1808 KISANGARA,CENTRE WITH 40 CANDIDATES OR MORE,2628/3908,205/276,4.1278,KILIMANJARO,81,111,4,107,0,0,107,1,8,9,63,26
S1809 BUHA,CENTRE WITH 40 CANDIDATES OR MORE,2878/3908,103/137,4.1802,KIGOMA,45,69,1,68,0,0,68,0,2,13,30,23
S1810 MUHARURO,CENTRE WITH 40 CANDIDATES OR MORE,3315/3908,125/137,4.2846,KIGOMA,47,77,0,77,0,0,77,0,3,12,32,30
S1811 KIMWANYA,CENTRE WITH 40 CANDIDATES OR MORE,2399/3908,85/137,4.0822,KIGOMA,55,73,0,73,0,0,73,2,7,10,36,18
S1812 ISDORE SHIRIMA,CENTRE WITH 40 CANDIDATES OR MORE,3736/3908,111/118,4.4583,MTWARA,43,88,2,86,0,0,86,0,2,6,35,43
S1813 RUSIMBI,CENTRE WITH 40 CANDIDATES OR MORE,3220/3908,118/137,4.2617,KIGOMA,60,94,4,90,0,0,90,0,6,7,47,30
S1814 OSLO HIGH SCHOOL,CENTRE WITH LESS THAN 40 CANDIDATES,197/1011,17/41,3.3376,PWANI,24,24,0,24,0,0,24,1,7,5,11,0
S1815 THERESIA,CENTRE WITH LESS THAN 40 CANDIDATES,565/1011,30/41,3.9520,KILIMANJARO,36,38,0,38,0,0,38,1,1,7,27,2
S1816 EMET DAR ES SALAAM,CENTRE WITH LESS THAN 40 CANDIDATES,923/1011,56/62,4.3646,DAR ES SALAAM,4,11,2,9,3,0,6,0,0,0,4,2
S1818 BARAA,CENTRE WITH 40 CANDIDATES OR MORE,1581/3908,101/178,3.9142,ARUSHA,149,205,2,203,0,0,203,9,21,31,88,54
S1819 TRIFONIA ACADEMY,CENTRE WITH 40 CANDIDATES OR MORE,282/3908,8/66,2.8191,MJINI MAGHARIBI,84,84,0,84,0,0,84,3,48,31,2,0
S1821 KIMALA,CENTRE WITH 40 CANDIDATES OR MORE,3247/3908,247/276,4.2681,KILIMANJARO,86,123,4,119,0,0,119,0,4,10,72,33
S1822 ANNAGAMAZO,CENTRE WITH 40 CANDIDATES OR MORE,88/3908,7/178,2.0906,ARUSHA,101,102,1,101,0,0,101,59,31,9,2,0
S1823 JUVENARY BUZINZA,CENTRE WITH LESS THAN 40 CANDIDATES,160/1011,9/19,3.2050,MWANZA,32,32,0,32,0,0,32,1,10,14,7,0
S1824 MBOGWE,CENTRE WITH 40 CANDIDATES OR MORE,1728/3908,49/102,3.9434,GEITA,85,101,4,97,0,0,97,0,7,17,61,12
S1825 KIZIGO,CENTRE WITH LESS THAN 40 CANDIDATES,266/1011,7/45,3.5073,SINGIDA,13,15,0,15,0,0,15,0,4,5,4,2
S1826 MIBONO,CENTRE WITH LESS THAN 40 CANDIDATES,732/1011,54/65,4.1212,TABORA,17,25,4,21,0,0,21,0,1,2,14,4
S1827 LUSETU,CENTRE WITH 40 CANDIDATES OR MORE,2489/3908,95/137,4.1005,RUVUMA,49,63,2,61,0,0,61,1,3,7,38,12
S1828 LAINI,CENTRE WITH 40 CANDIDATES OR MORE,744/3908,23/100,3.5556,SIMIYU,42,46,1,45,0,0,45,1,10,12,19,3
S1829 UGUNDA,CENTRE WITH LESS THAN 40 CANDIDATES,441/1011,36/65,3.8138,TABORA,23,30,1,29,0,0,29,2,4,4,13,6
S1830 LUKOSI,CENTRE WITH 40 CANDIDATES OR MORE,2852/3908,121/134,4.1741,IRINGA,97,124,3,121,0,0,121,0,5,13,79,24
S1831 KILINGI,CENTRE WITH 40 CANDIDATES OR MORE,2658/3908,208/276,4.1335,KILIMANJARO,99,145,1,144,0,0,144,3,11,17,68,45
S1832 MKOHA,CENTRE WITH LESS THAN 40 CANDIDATES,641/1011,31/53,4.0149,RUVUMA,27,35,2,33,0,0,33,0,3,7,17,6
S1833 KITUNTU,CENTRE WITH 40 CANDIDATES OR MORE,2073/3908,120/215,4.0199,KAGERA,164,217,1,216,0,0,216,6,17,27,114,52
S1834 MANTARE,CENTRE WITH 40 CANDIDATES OR MORE,3183/3908,225/246,4.2529,MWANZA,54,83,3,80,0,0,80,0,3,10,41,26
S1835 MAHINA,CENTRE WITH 40 CANDIDATES OR MORE,2807/3908,200/246,4.1639,MWANZA,158,228,2,226,0,0,226,1,15,32,110,68
S1837 SUN CITY,CENTRE WITH 40 CANDIDATES OR MORE,3203/3908,36/66,4.2568,MJINI MAGHARIBI,52,65,5,60,0,0,60,0,0,3,49,8
S1838 MBARALI PREPARATORY,CENTRE WITH 40 CANDIDATES OR MORE,2129/3908,28/66,4.0323,MJINI MAGHARIBI,62,72,0,72,0,0,72,0,5,11,46,10
S1839 MARORONI,CENTRE WITH 40 CANDIDATES OR MORE,1941/3908,116/178,3.9919,ARUSHA,58,61,0,61,0,0,61,0,2,10,46,3
S1840 KIMASEKI,CENTRE WITH 40 CANDIDATES OR MORE,991/3908,56/178,3.7256,ARUSHA,225,267,5,262,0,0,262,12,34,53,126,37
S1841 KANDAWE,CENTRE WITH 40 CANDIDATES OR MORE,1786/3908,131/246,3.9568,MWANZA,98,124,0,124,0,0,124,2,16,12,68,26
S1842 TAWHEED SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,429/3908,6/70,3.1055,RUKWA,45,45,0,45,0,0,45,2,15,23,5,0
S1844 KIKWE,CENTRE WITH 40 CANDIDATES OR MORE,2737/3908,154/178,4.1483,ARUSHA,86,120,3,117,0,0,117,1,7,17,61,31
S1845 SEEKE,CENTRE WITH 40 CANDIDATES OR MORE,2397/3908,81/121,4.0818,SHINYANGA,103,137,0,137,0,0,137,1,9,20,73,34
S1846 PANDAMBILI,CENTRE WITH 40 CANDIDATES OR MORE,2408/3908,93/152,4.0839,DODOMA,96,121,2,119,0,0,119,1,8,12,75,23
S1847 NGUJINI,CENTRE WITH 40 CANDIDATES OR MORE,1585/3908,120/276,3.9154,KILIMANJARO,36,42,0,42,0,0,42,0,4,10,22,6
S1848 KABWE,CENTRE WITH 40 CANDIDATES OR MORE,2906/3908,59/70,4.1889,RUKWA,55,72,1,71,0,0,71,0,4,9,42,16
S1849 LUPASO,CENTRE WITH LESS THAN 40 CANDIDATES,647/1011,12/28,4.0173,MTWARA,24,29,0,29,0,0,29,0,1,6,17,5
S1850 KINGERIKITI,CENTRE WITH 40 CANDIDATES OR MORE,2698/3908,103/137,4.1424,RUVUMA,75,98,6,92,0,0,92,0,5,9,61,17
S1851 MBAMBI,CENTRE WITH 40 CANDIDATES OR MORE,1527/3908,61/137,3.8999,RUVUMA,132,142,4,138,0,0,138,2,10,17,103,6
S1852 NGWILIZI,CENTRE WITH 40 CANDIDATES OR MORE,2687/3908,102/137,4.1397,RUVUMA,61,71,0,71,2,0,69,0,4,5,52,8
S1853 KIGHARE,CENTRE WITH 40 CANDIDATES OR MORE,1824/3908,152/276,3.9655,KILIMANJARO,63,75,4,71,0,0,71,0,3,15,45,8
S1854 SHEKILANGO,CENTRE WITH 40 CANDIDATES OR MORE,1977/3908,47/215,3.9999,TANGA,114,141,1,140,0,0,140,0,11,27,76,26
S1855 BUTIAMA,CENTRE WITH 40 CANDIDATES OR MORE,3574/3908,155/177,4.3757,MARA,82,139,4,135,0,0,135,0,1,13,68,53
S1856 BULUNGWA,CENTRE WITH 40 CANDIDATES OR MORE,2090/3908,71/121,4.0228,SHINYANGA,88,117,2,115,0,0,115,4,8,14,62,27
S1857 ENYORRATA E-NGAI,CENTRE WITH 40 CANDIDATES OR MORE,180/3908,13/178,2.4602,ARUSHA,44,44,0,44,0,0,44,10,30,4,0,0
S1858 NYAMITWEBIRI,CENTRE WITH 40 CANDIDATES OR MORE,3411/3908,143/177,4.3184,MARA,66,140,5,135,0,0,135,1,7,20,38,69
S1859 MSHIKAMANO,CENTRE WITH 40 CANDIDATES OR MORE,3158/3908,130/177,4.2473,MARA,86,141,11,130,0,0,130,2,6,9,69,44
S1860 MWISENGE,CENTRE WITH 40 CANDIDATES OR MORE,3365/3908,140/177,4.2989,MARA,131,202,1,201,0,0,201,0,8,18,105,70
S1861 MERYA,CENTRE WITH 40 CANDIDATES OR MORE,2933/3908,96/116,4.1953,SINGIDA,43,62,4,58,0,0,58,0,5,5,33,15
S1862 MESAC,CENTRE WITH 40 CANDIDATES OR MORE,673/3908,70/237,3.4695,DAR ES SALAAM,105,109,2,107,0,0,107,3,21,32,49,2
S1863 BUZIRAYOMBO,CENTRE WITH 40 CANDIDATES OR MORE,1688/3908,47/102,3.9345,GEITA,58,84,1,83,0,0,83,2,13,11,32,25
S1864 KIRANYI,CENTRE WITH 40 CANDIDATES OR MORE,3113/3908,166/178,4.2358,ARUSHA,220,323,6,317,0,0,317,0,11,42,167,97
S1865 MKINGALEO,CENTRE WITH 40 CANDIDATES OR MORE,2617/3908,77/215,4.1249,TANGA,124,153,3,150,0,0,150,1,6,15,102,26
S1866 MINGOYO,CENTRE WITH 40 CANDIDATES OR MORE,1183/3908,13/61,3.8007,LINDI,78,85,2,83,0,0,83,1,7,25,45,5
S1867 MIANGALUA,CENTRE WITH 40 CANDIDATES OR MORE,1106/3908,21/70,3.7788,RUKWA,60,64,1,63,0,0,63,0,7,17,36,3
S1868 MTITU,CENTRE WITH 40 CANDIDATES OR MORE,2656/3908,119/134,4.1330,IRINGA,50,60,0,60,0,0,60,0,4,6,40,10
S1869 IGOGO,CENTRE WITH 40 CANDIDATES OR MORE,2815/3908,202/246,4.1662,MWANZA,102,132,4,128,0,0,128,1,5,15,81,26
S1870 NDAGARA,CENTRE WITH LESS THAN 40 CANDIDATES,540/1011,16/30,3.9281,KAGERA,14,18,1,17,0,0,17,0,2,3,9,3
S1871 BERNARD,CENTRE WITH LESS THAN 40 CANDIDATES,58/1011,5/30,2.6080,KAGERA,23,23,0,23,0,0,23,5,10,7,1,0
S1873 SONGWE,CENTRE WITH 40 CANDIDATES OR MORE,2697/3908,150/187,4.1424,MBEYA,168,220,3,217,0,0,217,2,13,21,132,49
S1875 ISHIMWE,CENTRE WITH 40 CANDIDATES OR MORE,645/3908,31/137,3.4457,KIGOMA,45,46,0,46,0,0,46,2,10,11,22,1
S1877 DR. NCHIMBI,CENTRE WITH 40 CANDIDATES OR MORE,2539/3908,88/177,4.1115,MARA,189,265,1,264,0,0,264,3,20,36,130,75
S1878 NASHOLI,CENTRE WITH 40 CANDIDATES OR MORE,2623/3908,151/178,4.1264,ARUSHA,71,89,1,88,0,0,88,1,4,9,57,17
S1879 KALEBEZO,CENTRE WITH 40 CANDIDATES OR MORE,2732/3908,191/246,4.1469,MWANZA,73,106,3,103,0,0,103,1,5,16,51,30
S1880 MBEZI INN,CENTRE WITH 40 CANDIDATES OR MORE,1957/3908,123/237,3.9940,DAR ES SALAAM,233,277,1,276,0,0,276,1,28,49,155,43
S1881 MAHEGE,CENTRE WITH 40 CANDIDATES OR MORE,3622/3908,117/129,4.3953,PWANI,35,59,0,59,0,0,59,0,1,6,28,24
S1882 IHANAMILO,CENTRE WITH 40 CANDIDATES OR MORE,2191/3908,69/102,4.0451,GEITA,136,176,5,171,0,0,171,0,13,25,98,35
S1883 MIGUKULAMA,CENTRE WITH 40 CANDIDATES OR MORE,2315/3908,163/246,4.0654,MWANZA,69,106,1,105,0,0,105,2,10,17,40,36
S1884 PIUS MSEKWA,CENTRE WITH 40 CANDIDATES OR MORE,3500/3908,238/246,4.3485,MWANZA,94,173,2,171,0,0,171,0,12,12,70,77
S1885 BUGARAMA,CENTRE WITH 40 CANDIDATES OR MORE,1516/3908,50/121,3.8962,SHINYANGA,134,162,3,159,0,0,159,8,18,17,91,25
S1888 PATRICK MISSION,CENTRE WITH 40 CANDIDATES OR MORE,233/3908,28/237,2.6653,DAR ES SALAAM,75,75,0,75,0,0,75,9,45,17,4,0
S1891 MKUYUNI,CENTRE WITH 40 CANDIDATES OR MORE,1559/3908,111/246,3.9068,MWANZA,91,107,0,107,0,0,107,3,10,16,62,16
S1892 AFRICANA,CENTRE WITH LESS THAN 40 CANDIDATES,994/1011,61/62,4.6047,DAR ES SALAAM,8,16,0,16,0,0,16,0,0,0,8,8
S1893 GIDHIM,CENTRE WITH 40 CANDIDATES OR MORE,1521/3908,53/115,3.8971,MANYARA,64,76,1,75,0,0,75,2,8,14,40,11
S1894 LUBUGU,CENTRE WITH 40 CANDIDATES OR MORE,568/3908,44/246,3.3317,MWANZA,65,69,2,67,0,0,67,3,23,11,28,2
S1895 GODEGODE,CENTRE WITH LESS THAN 40 CANDIDATES,300/1011,9/63,3.5709,DODOMA,31,34,2,32,0,0,32,3,5,6,17,1
S1896 MINGUMBI,CENTRE WITH 40 CANDIDATES OR MORE,2205/3908,31/61,4.0471,LINDI,42,47,0,47,0,0,47,0,4,3,35,5
S1897 KINJUMBI,CENTRE WITH 40 CANDIDATES OR MORE,2840/3908,48/61,4.1714,LINDI,39,48,2,46,0,0,46,0,1,5,33,7
S1898 TUMAINI NKEREZANGE,CENTRE WITH LESS THAN 40 CANDIDATES,815/1011,47/62,4.2000,DAR ES SALAAM,6,10,0,10,2,0,8,0,1,0,5,2
S1899 NYAKATENDE,CENTRE WITH 40 CANDIDATES OR MORE,3721/3908,167/177,4.4434,MARA,48,86,6,80,0,0,80,0,2,3,43,32
S1900 BUGWEMA,CENTRE WITH 40 CANDIDATES OR MORE,2740/3908,99/177,4.1493,MARA,41,60,2,58,0,0,58,0,3,9,29,17
S1901 KYANYARI,CENTRE WITH 40 CANDIDATES OR MORE,3547/3908,153/177,4.3664,MARA,70,125,3,122,0,0,122,0,5,12,53,52
S1902 SUGUTI,CENTRE WITH 40 CANDIDATES OR MORE,1496/3908,36/177,3.8882,MARA,70,80,1,79,0,0,79,1,6,16,47,9
S1903 TEGERUKA,CENTRE WITH 40 CANDIDATES OR MORE,3523/3908,152/177,4.3572,MARA,31,54,3,51,0,0,51,0,1,6,24,20
S1904 MIRWA,CENTRE WITH 40 CANDIDATES OR MORE,3641/3908,160/177,4.4047,MARA,28,56,1,55,0,0,55,0,2,3,23,27
S1905 MMAZAMI,CENTRE WITH 40 CANDIDATES OR MORE,2666/3908,95/177,4.1351,MARA,45,72,6,66,0,0,66,0,7,7,31,21
S1906 ETARO,CENTRE WITH 40 CANDIDATES OR MORE,2509/3908,84/177,4.1049,MARA,66,85,1,84,0,0,84,1,9,6,50,18
S1907 MAKOJO,CENTRE WITH 40 CANDIDATES OR MORE,3282/3908,136/177,4.2752,MARA,43,67,2,65,0,0,65,0,1,9,33,22
S1908 BUHEMBA,CENTRE WITH 40 CANDIDATES OR MORE,3434/3908,145/177,4.3251,MARA,48,81,4,77,0,0,77,0,2,7,39,29
S1909 MTIRO,CENTRE WITH 40 CANDIDATES OR MORE,3139/3908,126/177,4.2430,MARA,40,60,2,58,0,0,58,1,1,7,31,18
S1910 IGOMA,CENTRE WITH 40 CANDIDATES OR MORE,2409/3908,168/246,4.0839,MWANZA,235,317,3,314,0,0,314,6,22,39,168,79
